id,vector,name,price,description,clean_text
74238555,https://www.meesho.com/s/p/448zkj?utm_source=s,Pretty Sensational Men Tshirts,168,Pretty Sensational Men Tshirts Lycra,sensat tshirt lycra pretti men
60529499,https://www.meesho.com/s/p/3aq3ud?utm_source=s,Stylish Fashionable Men Tshirts,290,Stylish Fashionable Men Tshirts Polyester,fashion polyest tshirt men stylish
14718250,https://www.meesho.com/s/p/xyoyo?utm_source=s,Pretty Fabulous Men Tshirts,197,Pretty Fabulous Men Tshirts Cotton Blend,tshirt cotton blend fabul pretti men
71968507,https://www.meesho.com/s/p/3z5xw4?utm_source=s,Tshirts ,188,Tshirts  Polyester,tshirt polyest
75659726,https://www.meesho.com/s/p/47d2jv?utm_source=s,Pretty Fashionista Men Tshirts,199,Pretty Fashionista Men Tshirts Poly Blend,pretti fashionista tshirt blend poli men
59313489,https://www.meesho.com/s/p/38bef4?utm_source=s,Pretty Glamorous Men Shirts,281,Pretty Glamorous Men Shirts cotton,glamor shirt cotton pretti men
64638920,https://www.meesho.com/s/p/3jlokk?utm_source=s,Classy Designer Men Shirts,360,Classy Designer Men Shirts Cotton,classi shirt design cotton men
34404059,https://www.meesho.com/s/p/1y7x2q?utm_source=s,Fancy Sensational Men Shirts,334,Fancy Sensational Men Shirts Cotton,shirt sensat fanci cotton men
45239958,https://www.meesho.com/s/p/2hr5ej?utm_source=s,Classy Fashionable Men Shirts,297,Classy Fashionable Men Shirts Cotton Blend,classi shirt fashion cotton blend men
43236977,https://www.meesho.com/s/p/2e9uia?utm_source=s,Stylish Designer Men Shirts,299,Stylish Designer Men Shirts Cotton Blend,shirt design cotton blend men stylish
46402043,https://www.meesho.com/s/p/2jt28v?utm_source=s,Comfy Modern Men Shirts,318,Comfy Modern Men Shirts Cotton Sleeve Length,comfi shirt sleev modern cotton length men
39024053,https://www.meesho.com/s/p/26ss46?utm_source=s,Pretty Fashionista Men Shirts,289,Pretty Fashionista Men Shirts Cotton,fashionista shirt cotton pretti men
